"","Sector","Div","PE","PS","PB","diff","P"
"MMM","Industrials",2.53,22.77,3.52,9.04,24.7233514001807,0.643628613369466
"ABT","Health Care",2.55,25.79,2.98,2.93,37.5746001432323,-6.32608737168776
"ABBV","Health Care",3.6,19.29,4.31,22.09,40.7574812967581,-1.21570916458852
"ACN","Information Technology",1.94,19.45,2.17,9.84,28.1035531230996,1.62453566154113
"ATVI","Information Technology",0.64,37.06,6.16,3.57,41.8503269556793,-9.17897796076532
"AYI","Industrials",0.21,43.23,3.53,6.95,36.5694203008087,-9.35681316604943
"ADBE","Information Technology",0,54.68,8.93,6.55,30.2613906395289,7.58342494059303
"AAP","Consumer Discretionary",0.15,25.2,1.22,4.5,42.2505307855626,3.65180163785259
"AES","Utilities",3.6,28.99,0.55,2.49,41.8831168831169,-6.4935064935065
"AET","Health Care",0.87,17.62,0.67,2.41,28.2478632478632,6.1965811965812
"AFL","Financials",2.27,11.93,1.4,1.48,29.521313284591,-3.03489998620498
"A","Health Care",1.04,32.35,3.53,3.47,29.8153034300792,3.45206464379948
"APD","Materials",2.46,56.99,3.16,4.36,25.9923796328369,0.0207862833391181
"ALK","Industrials",1.88,8.65,1.29,3,54.5606414968259,48.9475509522219
"ALB","Materials",1.57,18.13,2.51,2.58,52.1895190236899,8.44699569274947
"ALLE","Industrials",0.7,40.59,3.11,89.14,24.3762546601663,-5.96501003728133
"AGN","Health Care",0.1,21.53,5.77,1.3,60.202003408288,-10.0128849910636
"LNT","Utilities",3.18,24.3,2.83,2.4,34.1553637484587,-5.745990135635
"ALL","Financials",1.95,17,0.73,1.39,22.7246626471433,6.48865920183751
"MO","Consumer Staples",3.26,25.2,7.09,49.39,32.5648002291279,-2.66361019619075
"AEE","Utilities",3.16,20.62,2.21,1.86,30.4045155221072,-1.31702539981185
"AAL","Industrials",1.41,2.69,0.42,3.66,74.034620505992,54.8601864181092
"AEP","Utilities",3.14,18.14,2.17,1.9,26.9127421863951,-10.8612657332768
"AXP","Financials",1.95,12.28,1.84,2.74,51.048951048951,23.5973328996585
"AMT","Financials",1.77,73.61,9.56,6.87,27.6526482491642,-6.73939820517332
"AWK","Utilities",1.66,31.33,4.58,2.89,42.0825335892514,-12.7999016314779
"AMP","Financials",3.44,10.7,1.23,2.07,58.5865257595773,25.781596213122
"ABC","Health Care",1.68,11.98,0.12,8.28,51.3916015625,3.00292602539063
"AME","Industrials",0.79,18.86,2.69,3.21,32.3952879581152,8.13699825479929
"AMGN","Health Care",2.55,17.05,5.31,4.1,32.1042830540037,-5.2017374301676
"APH","Industrials",1.01,24.5,3.04,5.1,27.3186889818689,18.5669490934449
"ADI","Information Technology",3,28.03,5.07,3.53,29.303775545549,25.4070038101836
"ANTM","Health Care",2.01,14.87,0.42,1.44,34.9375709421112,8.23306772606886
"AON","Financials",1.21,22.39,2.49,5.46,24.0394268504153,3.10304006571142
"AIV","Financials",2.94,41.74,7.32,4.87,24.0667545015371,-0.966187966622749
"AAPL","Information Technology",2.36,10.76,2.31,4.03,44.9937939594539,19.9007012825817
"AMAT","Information Technology",1.65,23.08,2.77,4.03,43.0004011231448,29.5627717609306
"ADM","Consumer Staples",2.85,16.68,0.38,1.38,45.1701931922723,6.02575436982521
"AJG","Financials",3.17,22.46,1.58,2.36,26.2833675564682,8.33675154004107
"AIZ","Financials",2.37,18.82,0.53,1.16,28.7631609394886,10.3204882563924
"T","Telecommunications Services",4.45,18.06,1.68,2.11,30.3215207697724,0.563243370100915
"ADP","Information Technology",2.27,28.28,3.72,9.47,32.0736741822801,9.51624748597438
"AVB","Financials",2.99,32.5,12.68,2.52,17.8382178003677,-4.8934795068671
"AVY","Materials",2.27,23.31,1.09,6.65,32.4965893587994,-1.77353342428376
"BLL","Materials",0.74,76.68,1.28,9.39,26.1658754537838,7.09298659592292
"BAC","Financials",1.56,10.35,1.76,0.56,56.8716780561883,73.2725892179195
"BCR","Health Care",0.44,161.6,5.05,11.94,28.0878661087866,-4.15062677824267
"BAX","Health Care",1.14,6.55,2.56,2.82,31.6613076098607,-4.07288317256163
"BBT","Financials",3.25,13.75,2.91,1.08,33.9295854628052,33.8728052243044
"BDX","Health Care",1.53,46.95,3,4.79,26.9699385105898,-6.73536893646093
"BBBY","Consumer Discretionary",1.15,8.87,0.54,2.59,64.1925326135852,-6.25281151596941
"BBY","Consumer Discretionary",3.66,10.64,0.25,2.24,44.5557350565428,38.1260096930533
"BLK","Financials",2.73,18.29,4.9,1.95,27.3261877172653,11.5237575318656
"HRB","Financials",3.76,15.8,1.71,223.81,77.7871979652395,-1.14455277660025
"BA","Industrials",3.43,17.58,0.84,20.13,37.2741947882235,21.7695472365285
"BWA","Consumer Discretionary",1.77,11.51,0.77,1.73,89.5976447497547,33.267916257769
"BXP","Financials",1.98,35.18,7.84,3.6,29.035403540354,-2.34023627362736
"BMY","Health Care",2.06,80.86,7.31,8.6,31.7481402763018,-21.1078653028693
"BF-B","Consumer Staples",1.6,18.83,6.19,12.29,21.4103999185916,-53.9228665920423
"CHRW","Industrials",2.37,20.61,0.79,8.8,22.0206905817547,-2.20341125890098
"CA","Information Technology",3.19,18.63,3.43,2.54,25.5848386141546,-2.99082617708025
"CPB","Consumer Staples",1.87,30.42,2.59,12.32,33.7704918032787,-9.06110283159462
"COF","Financials",2.59,9.38,1.72,0.68,52.6502858908978,38.8347952403029
"CAH","Health Care",2.26,19.24,0.22,3.86,22.3687484448868,-6.28265488927594
"CCL","Consumer Discretionary",3.19,15.34,2.05,1.43,34.2542677448338,19.1599258760108
"CAT","Industrials",4.1,40.7,1,2.8,36.874757658007,20.4342768514928
"CBS","Consumer Discretionary",1.07,18.31,1.79,4.65,33.9523475823406,15.0490504555011
"CTL","Telecommunications Services",7.32,17.98,0.9,1.14,36.3997352746525,-15.5526141628061
"CF","Materials",5.11,11.8,1.26,1.36,191.351568785197,32.9042679002413
"SCHW","Financials",1.11,23.39,5.1,2.71,55.2273610571317,59.2304741546833
"CVX","Energy",4.15,151.62,1.71,1.29,33.8073876109573,12.6276605898635
"CB","Financials",0,18.02,2.79,1.3,26.8734643734644,0.952085380835374
"CHD","Consumer Staples",1.4,32.37,3.76,6.72,30.1184600197433,-55.863771964462
"CI","Health Care",0.03,16.2,0.85,2.57,27.8780864197531,7.3148163580247
"CINF","Financials",2.56,18.07,2.36,1.83,34.4121532364597,0.435929986789961
"CTAS","Industrials",1.06,16.87,2.21,5.42,21.8608852755194,17.3240981632039
"CSCO","Information Technology",3.62,14.49,2.92,2.32,24.025974025974,2.87081339712919
"C","Financials",0.46,8.39,1.81,0.58,62.9585516912816,45.2358289661744
"CFG","Financials",2.53,12.56,2.27,0.52,51.0831234256927,81.4609571788413
"CME","Financials",2.45,26.03,9.72,1.59,19.211324570273,16.7846309403438
"CMS","Utilities",2.69,25.98,2.06,3.08,31.6194243023511,-8.28388925510877
"COH","Consumer Discretionary",3.38,29.64,2.6,4.29,35.8758421559192,-15.7603512993263
"CMCSA","Consumer Discretionary",1.77,20.34,2.13,3.06,25.5997615854567,3.6954194605871
"CMA","Financials",2.21,16.89,2.85,0.93,48.8674698795181,68.3614530120482
"ED","Utilities",3.29,20.93,1.94,1.78,27.1211744214979,-8.50957825329683
"GLW","Industrials",2.81,52.8,2.47,1.41,28.1205164992826,16.5471114299378
"COST","Consumer Staples",1.15,31.27,0.61,6.24,31.8544487427466,-2.71397666827853
"CCI","Financials",3.92,24.41,9.17,4.74,26.5264187866928,-14.6379667318982
"CSRA","Information Technology",1.69,45.3,0.91,60.03,51.8950437317784,34.1107913369429
"CSX","Industrials",2.77,13.8,2.17,2.13,44.3648699585375,37.2408594044478
"CMI","Industrials",3.53,15.16,1.01,2.73,44.8125544899738,21.3251996512642
"CVS","Consumer Staples",1.77,21.03,0.64,2.87,33.3677899524499,-17.4591709737441
"DHI","Consumer Discretionary",1.09,15.53,1.08,1.95,32.5251330573625,-16.9426374926079
"DHR","Industrials",0.79,16.02,2.61,2.27,31.4741528567895,-1.94162626762305
"DRI","Consumer Discretionary",3.6,21.4,1.13,4.02,35.8213767531839,17.620504594551
"DE","Industrials",2.87,16.25,0.9,3.48,33.8396937137211,30.4680733605039
"DLPH","Consumer Discretionary",1.9,11.03,1.11,7.57,51.349267540478,7.84888511950657
"DAL","Industrials",1.52,6.26,0.69,2.5,53.973775755954,34.8943002408349
"XRAY","Health Care",0.5,30.82,5.25,1.75,25.7927117841931,-6.92538255245307
"DO","Energy",0,49,1.49,0.79,51.1836734693877,-23.8367346938776
"DLR","Financials",3.14,101.23,8.53,5.14,47.6687227866473,-7.2115375544267
"DFS","Financials",2.12,10.58,3.03,2.05,30.956711531466,34.2124427064387
"DG","Consumer Discretionary",1.07,22.76,1.28,4.94,37.0335029686175,-20.5788761662426
"D","Utilities",3.61,24.66,4.26,3.59,18.4550454022253,-3.06944494180841
"DOV","Industrials",2.44,14.58,1.55,2.88,30.4947398350867,8.75746374751208
"DOW","Materials",3.82,9.43,1.15,2.51,44.5141700404858,17.5910931174089
"DPS","Consumer Staples",2.19,23.55,2.85,8.62,27.1800679501699,-6.30083187480696
"DTE","Utilities",2.97,25.45,1.78,1.98,26.1145854347388,-0.524507766794436
"DD","Materials",2.45,26.53,2.19,5.33,44.9207096875491,15.9836756162663
"DUK","Utilities",3.87,22.46,2.6,1.47,25.3575165678409,-9.42913382164865
"EMN","Materials",2.75,11.04,1.05,2.36,35.5516637478109,12.7699897840047
"ETN","Industrials",3.84,15.02,1.35,1.77,32.9780361757106,9.91601744186045
"ECL","Materials",1.19,35.89,2.58,5.24,20.0167785234899,-0.654364093959728
"EIX","Utilities",2.49,25.94,2.19,2.19,28.1949597032109,-7.2790034540105
"EMR","Industrials",3.63,18.3,1.61,4.38,29.1354790419162,5.76347305389223
"EFX","Financials",1.01,36.02,5.66,6.24,31.5562613430127,-9.60375
"EQIX","Information Technology",1.81,298.66,9.08,5.51,35.9173192964437,-5.96739221979715
"EQR","Financials",2.91,6.05,9.39,2.3,29.063829787234,-9.26240992907801
"ESS","Financials",2.8,61.49,11.97,2.44,23.1098430813124,-0.71326978774911
"EL","Consumer Staples",1.31,29.99,3.03,8.87,25.5993979142028,-15.9337684119987
"ES","Utilities",3,21.82,2.51,1.8,25.68406916233,-6.84908175256002
"EXC","Utilities",3.56,18.72,1.17,1.28,32.0963721960676,-1.68928274716145
"EXPE","Consumer Discretionary",0.89,25.47,2.23,3.48,47.6194827743763,3.93858905236223
"EXPD","Industrials",1.62,20.95,1.41,5.03,22.8165064102564,6.16987179487179
"EXR","Financials",3.39,52.62,13.54,5.37,27.5710455764075,-17.6085769436997
"XOM","Energy",3.23,30.13,1.75,2.24,29.8695745135771,-3.58135343168698
"FAST","Industrials",2.68,25.45,3.31,7.09,34.3577271722308,5.99159628565112
"FRT","Financials",2.26,48.47,15.54,6.39,26.1545795840534,-14.730948096061
"FDX","Industrials",0.75,24,0.81,2.86,34.1121495327103,20.7975976187428
"FIS","Information Technology",1.39,39.54,3.38,2.59,27.7127449690912,2.91990003945811
"FITB","Financials",3.07,8.65,2.12,0.87,46.8985507246377,58.1449333333333
"FE","Utilities",4.08,22.34,1.03,1.2,21.2382009994447,-14.1032731815658
"FLIR","Industrials",1.53,22.8,2.72,2.59,28.2075471698113,15.2515786163522
"FLS","Industrials",1.69,21.8,1.3,3.38,40.7075780738152,7.84014195239135
"FLR","Industrials",1.68,19.98,0.39,2.26,31.4330036843126,4.47935039751794
"FMC","Materials",1.47,10.65,1.75,3.06,40.2538726333907,24.8924246987952
"FL","Consumer Discretionary",1.99,14.62,1,2.81,45.897927190385,25.0653248562968
"F","Consumer Discretionary",4.71,6.06,0.33,1.71,41.2528647822765,0.916730328495042
"FBHS","Industrials",1.09,29.47,1.9,4.16,31.8053479488457,-9.54991031390134
"BEN","Financials",2.21,12.31,2.63,1.62,56.1506768687463,20.6592113007652
"GPS","Consumer Discretionary",4.22,11.38,0.55,3.41,93.3920704845815,1.189422907489
"GRMN","Consumer Discretionary",4.79,17.33,2.82,2.34,36.4076550611021,14.8720313580816
"GD","Industrials",2.17,15.2,1.36,4.04,22.8858200455581,25.1281314066059
"GE","Industrials",2.89,43.63,2.49,3.21,40.0621118012422,-1.95652173913044
"GGP","Financials",2.53,31.97,10.29,3.31,21.8205293737895,-17.6888315041963
"GIS","Consumer Staples",2.67,26.16,2.6,8.72,35.1228263869721,-14.4355506486337
"GM","Consumer Discretionary",5.29,4.47,0.29,1.05,41.3351314902225,24.7808428860418
"GPC","Consumer Discretionary",2.79,22.66,1.01,4.77,27.1696675240545,-8.18329332190149
"GILD","Health Care",2.2,7.39,3.47,8.6,49.0467937608319,-11.2189532062392
"GPN","Information Technology",0.06,32.14,3.25,11.05,38.3872722327985,-1.04705330432418
"GS","Financials",1.77,17.01,2.18,0.85,50.8112780954914,61.4044427450459
"GT","Consumer Discretionary",1,27.1,0.42,1.66,41.4248021108179,19.9396909159442
"GWW","Industrials",2.16,20.09,1.38,6.1,27.4005293530611,2.46452640256866
"HBI","Consumer Discretionary",1.72,22.94,1.68,10.11,43.4716406547393,-14.5793642938713
"HOG","Consumer Discretionary",2.93,13.08,1.44,4.63,49.8871331828443,21.6909480812641
"HAR","Consumer Discretionary",1.99,14.76,0.75,2.04,73.5728813559322,50.2372922033898
"HRS","Information Technology",2.43,95.46,1.45,3.04,23.3729216152019,22.4584334916865
"HIG","Financials",1.97,11.9,0.93,0.93,33.0656264341441,11.037170720514
"HAS","Consumer Discretionary",2.45,22.67,2.27,6.46,33.2310234919136,-4.79282021012867
"HP","Energy",4.74,71.07,3.28,1.47,43.9127163280662,18.7509465763732
"HPE","Information Technology",1.19,15.59,0.59,1.01,43.2247899159664,23.1617699579832
"HD","Consumer Discretionary",2.1,23.6,1.81,25.78,33.9809438737532,0.476400178651181
"HON","Industrials",2.05,19.29,2.28,4.86,26.9185459441266,-1.94379081117469
"HRL","Consumer Staples",1.58,25.25,2.1,4.48,47.2002185195302,-2.10325047801146
"HST","Financials",4.88,19.72,2.25,1.74,55.0715990453461,15.1551252983293
"HUM","Health Care",0.64,22.05,0.45,2.3,23.5535883654758,25.4821353145748
"HBAN","Financials",3.26,10.63,2.33,1.07,46.6743119266055,54.1284403669725
"ITW","Industrials",2.08,20.79,2.85,7.29,28.3776301218162,13.4643752307124
"IR","Industrials",1.98,22.87,1.25,2.87,33.7693945847277,15.606936416185
"INTC","Information Technology",3.13,14.52,2.79,2.56,31.5294117647059,7.20588529411765
"ICE","Financials",1.34,21.99,8.02,2.01,20.1136673284285,-77.8037292226245
"IBM","Information Technology",3.67,11.71,1.81,9.82,36.8250679787647,9.57529457464715
"IP","Materials",4.19,18.64,0.78,4.07,39.7426900584795,26.0818760233918
"IPG","Consumer Discretionary",2.52,21.48,1.22,4.83,28.0657395701644,-2.275596291614
"IFF","Materials",1.76,25.61,3.35,6.24,26.2950667798966,-9.71975449702771
"INTU","Information Technology",1.16,30.17,6.31,23.47,31.5206096293731,-0.60616643574645
"IVZ","Financials",4.45,12.55,2.11,1.33,64.2216152945767,23.1369449863441
"IRM","Industrials",5.1,58.01,2.77,16.76,42.5846925972396,-15.3826825595985
"JBHT","Industrials",1.08,22.59,1.48,7.22,30.4117647058824,14.6117623529412
"JNJ","Health Care",2.61,22.39,4.8,4.64,33.7321937321937,-5.57590557590557
"JCI","Consumer Discretionary",2.72,63.81,0.76,2.78,36.610401459854,-3.1478125
"JPM","Financials",2.85,10.48,2.52,0.99,33.2201196830018,40.4010965550703
"JNPR","Information Technology",1.82,13.79,1.72,1.83,49.4704324801412,27.4492453662842
"KSU","Industrials",1.51,20.12,3.98,2.41,43.2815964523281,-9.95565299334812
"K","Consumer Staples",2.42,52.67,2.15,14.18,23.8020329138432,-11.616649322362
"KEY","Financials",2.52,11.01,2.28,0.86,50.3155996393147,66.456257889991
"KMB","Consumer Staples",2.69,45.44,2.63,442.97,26.3533392174169,-15.2324213003825
"KIM","Financials",3.27,19.7,11.08,2.52,30.849714648066,-18.4844673430564
"KMI","Energy",2.9,713.08,2.93,1.17,147.680690399137,17.5296709816613
